url,allinfo,detailTitle,price,detailDesc
https://nj.lianjia.com/xiaoqu/2511053628611,"2005年建成 ,板楼/塔板结合,0.5至0.8元/平米/月,街道办事处（委员会）代管物业,南京鼎业投资置业集团有限公司,52栋,1780户,/浦口区盛景华庭1号商业楼门面",城南新村,22293,(浦口江浦街道)新浦路125号
https://nj.lianjia.com/xiaoqu/1411063778583,"1991年建成 ,板楼,0.3元/平米/月,私人承办物业,玄武区城镇建设综合开发有限公司,21栋,1101户,/玄武区华飞路号北苑之星23幢",北苑二村,27605,(玄武迈皋桥)北苑西路7号
https://nj.lianjia.com/xiaoqu/1411000000220,"1985年建成 ,塔板结合,5元/平米/月,业主自筹物业,鼓楼区房产开发公司,11栋,178户,/鼓楼区汉口西路130号1幢102室",广州路258号,52731,(鼓楼宁海路)广州路258号
https://nj.lianjia.com/xiaoqu/1411042831247,"1985年建成 ,板楼/塔板结合,0.5至2.5元/平米/月,街道办事处（委员会）代管物业,南京市白下城市建设(集团)有限公司,24栋,732户,/秦淮区小火瓦巷42号-临",洪武路,33299,(秦淮新街口)洪武路317号
https://nj.lianjia.com/xiaoqu/1411000000457,"1997年建成 ,板楼/塔板结合,2元/平米/月,街道办事处（委员会）代管物业,鼓楼区房产开发公司,6栋,83户,/鼓楼区玉泉路15号",琅琊新村,46616,(鼓楼水佐岗)西康路41号
https://nj.lianjia.com/xiaoqu/1411046707592,"2008年建成 ,板楼/塔板结合,1至3元/平米/月,南京香溢物业管理有限公司,江苏香溢置业有限公司,12栋,497户,/鼓楼区幕府西路29-6号",金域中央街区一期,39085,(鼓楼五塘广场)幕府西路33号
https://nj.lianjia.com/xiaoqu/1411000000577,"1986年建成 ,塔板结合,0.3元/平米/月,街道办事处（委员会）代管物业,南京城市建设开发（集团）总公司,4栋,207户,/鼓楼区汉口路48号",上海路79号,30474,(鼓楼宁海路)上海路79号
https://nj.lianjia.com/xiaoqu/1411000000524,"1990年建成 ,板楼,0.5至1元/平米/月,街道办事处（委员会）代管物业,南京城市建设开发（集团）总公司,5栋,168户,/鼓楼区马台街80号",裴西村,31500,(鼓楼湖南路)裴西村
https://nj.lianjia.com/xiaoqu/2511051824657,"暂无信息 ,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,1户,/玄武区通贤桥6号",一枝园小区,31120,(玄武长江路)一枝园16号
https://nj.lianjia.com/xiaoqu/1411099953181,"2007年建成 ,塔板结合,0.49元/平米/月,私人承办物业,南京亚东国际实业有限公司,2栋,3户,暂无门店信息",巴厘原墅,30737,(江宁江宁其它)侯家塘228号
https://nj.lianjia.com/xiaoqu/2511053041085,"1990年建成 ,板楼,1元/平米/月,街道办事处（委员会）代管物业,南京市白下城市建设(集团)有限公司,1栋,12户,/秦淮区中华路1号-31",府西街39号,30522,(秦淮升州路)府西街39号
https://nj.lianjia.com/xiaoqu/1411041200230,"1987年建成 ,板楼,0.1元/平米/月,街道办事处（委员会）代管物业,鼓楼区房产开发公司,1栋,42户,/鼓楼区西桥10-7临",大方巷77号,29041,(鼓楼湖南路)大方巷77号
